Day|MaxT|MinT|AvgT|MaxWind|AvgWind|MaxRain|MinRain|AvgRain|MaxHU|MinHU|AvgHU
1992-06-12|17.495028|8.725029|14.057112097740173|9.83268|4.2046636790037155|0.3|0.0|0.050000001365939774|100.0|67.0|84.66666666666667
1992-06-13|19.175028|12.225029|15.191278775533041|10.464797|6.2274132668972015|0.5|0.0|0.045833333705862365|100.0|77.0|90.75
1992-06-14|22.205029|12.135029|16.997528553009033|11.043261|7.092512349287669|0.0|0.0|0.0|97.0|65.0|82.375
1992-06-15|24.385029|10.885029|17.641695141792297|20.275385|11.086119671662649|0.0|0.0|0.0|100.0|52.0|77.41666666666667
1992-06-16|25.195028|10.015029|17.984195232391357|21.288757|10.816806177298227|0.0|0.0|0.0|97.0|52.0|78.58333333333333
1992-06-17|20.825027|12.415029|17.57544505596161|25.862436|16.60162655512492|0.6|0.0|0.11250000198682149|98.0|73.0|87.04166666666667
1992-06-18|22.285028|8.635029|16.7300283908844|16.981165|11.594150225321451|0.4|0.0|0.054166667784253754|97.0|59.0|76.125
1992-06-19|14.045029|9.325028|10.867112358411154|13.53236|9.878563741842905|1.0|0.0|0.4666666683430473|98.0|83.0|92.25
1992-06-20|16.675028|10.465029|13.643362243970236|11.928989|5.507772127787272|0.2|0.0|0.037500000558793545|97.0|74.0|87.0
1992-06-21|18.545029|11.305029|14.532528837521872|9.346143|6.059400826692581|0.2|0.0|0.041666667287548385|100.0|57.0|80.66666666666667
1992-06-22|23.195028|9.545029|18.409611582756042|22.553934|10.736419210831324|0.6|0.0|0.04166666821887096|100.0|54.0|78.58333333333333
1992-06-23|23.405027|14.685029|19.525028149286907|10.163227|5.433623045682907|2.2|0.0|0.17500000353902578|100.0|66.0|85.0
1992-06-24|20.035028|13.055029|17.1008616288503|11.620809|8.324056923389435|0.7|0.0|0.1791666696468989|98.0|71.0|86.33333333333333
1992-06-25|18.325027|14.685029|16.63711182276408|9.826088|7.284232517083486|1.3|0.0|0.679166671509544|98.0|80.0|91.875
1992-06-26|19.565027|14.745029|16.923361857732136|12.10157|7.691597978274028|0.2|0.0|0.016666666915019352|100.0|78.0|91.5
1992-06-27|23.415028|12.475029|18.954611738522846|25.133053|11.698340237140656|0.0|0.0|0.0|100.0|50.0|73.75
